#Model files used:,C:/Users/rringuet/Kamodo_Data/CTIPe/Data/2015-03-18,C:/Users/rringuet/Kamodo_Data/CTIPe/Data/2015-03-19,C:/Users/rringuet/Kamodo_Data/CTIPe/Data/2015-03-20,
#Model used:, CTIPe
#Coordinates:, GDZ, sph
#utc_time,c1,c2,c3,net_idx,rho,
#[s],[deg],[deg],[km],[],[kg/m**3],
1426660000.0,-180.0,65.0,350.0,0,1.0683762886853773e-11,
1426660020.0018134,-178.6554336547083,64.98226958942196,351.16750010825,1,1.0496325017689743e-11,
1426660040.0036268,-177.31086730941658,64.92908803053274,352.33436313714253,2,1.0306796650511395e-11,
1426660060.0054402,-175.96630096412488,64.84048433659001,353.49995235487916,3,1.0120582669085382e-11,
1426660080.0072536,-174.6217346188332,64.71650684543599,354.66363172459097,4,9.931019941670151e-12,
1426660100.009067,-173.27716827354146,64.5572231931267,355.82476625132824,5,9.745207290393928e-12,
1426660120.0108805,-171.93260192824977,64.36272027703302,356.98272232848353,6,9.558148597812128e-12,
1426660140.012694,-170.58803558295807,64.13310420843378,358.13686808345585,7,9.369993788608494e-12,
1426660160.0145073,-169.24346923766635,63.86850025462653,359.28657372236967,8,9.18454005396191e-12,
1426660180.0163207,-167.89890289237465,63.56905277058796,360.4312118736596,9,8.994563346077158e-12,
1426660200.018134,-166.55433654708295,63.23492512022077,361.5701579303339,10,8.809603714564779e-12,
1426660220.0199475,-165.20977020179123,62.866299587230415,362.70279039072886,11,8.622125075953949e-12,
1426660240.0217607,-163.86520385649953,62.46337727567995,363.82849119757054,12,8.439327715526689e-12,
1426660260.023574,-162.52063751120784,62.02637800027751,364.9466460751559,13,8.254342879751244e-12,
1426660280.0253875,-161.1760711659161,61.5555401664562,366.05664486447205,14,8.07283694323796e-12,
1426660300.027201,-159.83150482062442,61.051120640311666,367.15788185606897,15,7.898045752748215e-12,
1426660320.0290143,-158.4869384753327,60.513394608468595,368.24975612050474,16,7.722061448049075e-12,
1426660340.0308278,-157.142372130041,59.94265542795233,369.33167183618394,17,7.547930947436075e-12,
1426660360.0326412,-155.7978057847493,59.33921446614759,370.40303861440776,18,7.369928187723543e-12,
1426660380.0344546,-154.4532394394576,58.70340093093166,371.46327182146234,19,7.1958779924238175e-12,
1426660400.036268,-153.10867309416588,58.035561691074726,372.51179289756533,20,7.024048169777262e-12,
1426660420.0380814,-151.76410674887418,57.33606108700518,373.54802967250043,21,6.839914049415075e-12,
1426660440.0398948,-150.41954040358246,56.60528073204332,374.5714166777652,22,6.657373788923675e-12,
1426660460.0417082,-149.07497405829076,55.843619304211785,375.5813954550634,23,6.4714697195739835e-12,
1426660480.0435216,-147.73040771299907,55.051492328736316,376.57741486097166,24,6.277199029194391e-12,
1426660500.045335,-146.38584136770737,54.229331951355555,377.55893136761756,25,6.081837294734232e-12,
1426660520.0471485,-145.04127502241565,53.37758670256339,378.52540935920086,26,5.866855481766187e-12,
1426660540.0489619,-143.69670867712395,52.49672125291272,379.4763214241999,27,5.6490627449435795e-12,
1426660560.0507753,-142.35214233183223,51.5872161595139,380.4111486431011,28,5.4337251131456295e-12,
1426660580.0525887,-141.00757598654053,50.64956760386626,381.3293808714964,29,5.20443631714857e-12,
1426660600.054402,-139.66300964124883,49.6842871211658,382.23051701839313,30,4.963248230871711e-12,
1426660620.0562155,-138.3184432959571,48.69190132123656,383.1140653195842,31,4.760377870890221e-12,
1426660640.058029,-136.9738769506654,47.67295160123805,383.9795436059314,32,4.689155416820106e-12,
1426660660.0598423,-135.62931060537372,46.62799385030549,384.8264795664126,33,4.6164185497635675e-12,
1426660680.0616555,-134.284744260082,45.557598146283794,385.6544110057921,34,4.54199469162704e-12,
1426660700.063469,-132.9401779147903,44.462348444721094,386.46288609677123,35,4.468403196010688e-12,
1426660720.0652823,-131.5956115694986,43.342842260291036,387.25146362648377,36,4.393815104258409e-12,
1426660740.0670958,-130.25104522420688,42.199690340818094,388.01971323719954,37,4.3207579582438854e-12,
1426660760.0689092,-128.90647887891518,41.03351633408332,388.7672156611071,38,4.2498046062229744e-12,
1426660780.0707226,-127.56191253362347,39.84495644759275,389.4935629490452,39,4.177963244996702e-12,
1426660800.072536,-126.21734618833176,38.634659101493554,390.1983586930605,40,4.1082562898683154e-12,
1426660820.0743494,-124.87277984304006,37.40328457482783,390.8812182426677,41,4.036587264373341e-12,
1426660840.0761628,-123.52821349774835,36.15150464531661,391.54176891469666,42,3.9669335668808135e-12,
1426660860.0779762,-122.18364715245664,34.88000222287074,392.1796501966097,43,3.900977864721944e-12,
1426660880.0797896,-120.83908080716495,33.58947097702874,392.7945139431797,44,3.837915101759748e-12,
1426660900.081603,-119.49451446187324,32.28061495852454,393.3860245664212,45,3.777189026682762e-12,
1426660920.0834165,-118.14994811658153,30.954148215191825,393.9538592186707,46,3.716116576779201e-12,
1426660940.0852299,-116.80538177128983,29.61079440241453,394.49770796871667,47,3.653955833577539e-12,
1426660960.0870433,-115.46081542599812,28.25128638833581,395.0172739708826,48,3.585282099660752e-12,
1426660980.0888567,-114.11624908070641,26.876365854040984,395.512273626972,49,3.50630529853915e-12,
1426661000.09067,-112.77168273541471,25.486782888932684,395.98243674098495,50,3.4159869780278415e-12,
1426661020.0924835,-111.427116390123,24.08329558151872,396.42750666652466,51,3.309730333919156e-12,
1426661040.094297,-110.0825500448313,22.66666960583607,396.8472404468104,52,3.1852466402612727e-12,
1426661060.0961103,-108.7379836995396,21.23767780373654,397.24140894722365,53,3.052031932147016e-12,
1426661080.0979238,-107.39341735424789,19.797099763262104,397.60979698031184,54,2.9106858187660923e-12,
1426661100.0997372,-106.04885100895618,18.34572139333976,397.952203423185,55,2.782108401577561e-12,
1426661120.1015503,-104.70428466366448,16.884334495028064,398.2684413272378,56,2.6814934173640196e-12,
1426661140.1033638,-103.35971831837277,15.41373632954916,398.55833802014,57,2.6110186071580207e-12,
1426661160.1051772,-102.01515197308106,13.934729183342114,398.8217352000383,58,2.574100070492343e-12,
1426661180.1069906,-100.67058562778935,12.44811993037464,399.0584890219171,59,2.5803244817465645e-12,
1426661200.108804,-99.32601928249765,10.954719591952067,399.26847017607446,60,2.6089195660741532e-12,
1426661220.1106174,-97.98145293720594,9.455342894263874,399.4515639586663,61,2.6513916841467284e-12,
1426661240.1124308,-96.63688659191423,7.950807823908867,399.6076703342838,62,2.7048982954217215e-12,
