Year	Month	Day	Hour	Minute	Second	Millisecond	Longitude	Latitude	Altitude
2019	3	16	22	0	0	0	-143.9558774	0.105859373	399.9938343
2019	3	16	22	0	5	0	-143.9204788	0.427070185	399.9951097
2019	3	16	22	0	10	0	-143.8850757	0.748280246	399.9977697
2019	3	16	22	0	15	0	-143.8496643	1.069488992	400.0018341
2019	3	16	22	0	20	0	-143.8142414	1.390695857	400.007243
2019	3	16	22	0	25	0	-143.7788033	1.711900277	400.0139641
2019	3	16	22	0	30	0	-143.7433465	2.033101686	400.022068
2019	3	16	22	0	35	0	-143.7078677	2.354299519	400.0315827
2019	3	16	22	0	40	0	-143.6723631	2.67549321	400.0423832
2019	3	16	22	0	45	0	-143.6368294	2.996682193	400.0544461
2019	3	16	22	0	50	0	-143.6012629	3.317865903	400.0678214
2019	3	16	22	0	55	0	-143.5656602	3.639043771	400.0825356
2019	3	16	22	1	0	0	-143.5300177	3.960215232	400.09866
2019	3	16	22	1	5	0	-143.4943319	4.281379717	400.1163304
2019	3	16	22	1	10	0	-143.4585992	4.602536658	400.135476
2019	3	16	22	1	15	0	-143.4228159	4.923685488	400.1557883
2019	3	16	22	1	20	0	-143.3869786	5.244825635	400.1771896
2019	3	16	22	1	25	0	-143.3510837	5.565956531	400.1998519
2019	3	16	22	1	30	0	-143.3151274	5.887077605	400.2239121
2019	3	16	22	1	35	0	-143.2791062	6.208188285	400.2493365
2019	3	16	22	1	40	0	-143.2430164	6.529287999	400.2761125
2019	3	16	22	1	45	0	-143.2068544	6.850376175	400.3042043
2019	3	16	22	1	50	0	-143.1706165	7.171452238	400.3335486
2019	3	16	22	1	55	0	-143.134299	7.492515613	400.3641232
2019	3	16	22	2	0	0	-143.0978981	7.813565725	400.3959907
2019	3	16	22	2	5	0	-143.0614101	8.134601996	400.429159
2019	3	16	22	2	10	0	-143.0248313	8.455623849	400.4636042
2019	3	16	22	2	15	0	-142.9881579	8.776630704	400.4992891
2019	3	16	22	2	20	0	-142.951386	9.097621982	400.5361784
2019	3	16	22	2	25	0	-142.9145118	9.4185971	400.5743387
2019	3	16	22	2	30	0	-142.8775315	9.739555475	400.6137988
2019	3	16	22	2	35	0	-142.8404411	10.06049652	400.6544804
2019	3	16	22	2	40	0	-142.8032368	10.38141966	400.696362
2019	3	16	22	2	45	0	-142.7659146	10.70232429	400.7394656
2019	3	16	22	2	50	0	-142.7284706	11.02320984	400.7837753
2019	3	16	22	2	55	0	-142.6909006	11.34407571	400.829305
2019	3	16	22	3	0	0	-142.6532008	11.6649213	400.8761358
2019	3	16	22	3	5	0	-142.615367	11.98574603	400.9242821
